name,UDISE_code,state,district,block,cluster,ward,pincode,category,type,class_from,class_to,state_management,national_management,status,location
NATIONAL PUBLIC SCHOOL,09090102208,Uttar Pradesh,GHAZIABAD,LONI,KHODA,KHODA,201010,2-Primary with Upper Primary,3-Co-educational,1,8,5-Pvt. Unaided (Recognized),5-Private Unaided (Recognized),,2-Urban
ADARSH BAL BHARTI JR.H. SCHOOL,09090102238,Uttar Pradesh,GHAZIABAD,LONI,KHODA,KHODA,201010,2-Primary with Upper Primary,3-Co-educational,1,8,5-Pvt. Unaided (Recognized),5-Private Unaided (Recognized),,1-Rural
LAWI PUBLIC SCHOOL,090901052n7,Uttar Pradesh,GHAZIABAD,LONI,LONI,LONI,201010,2-Primary with Upper Primary,3-Co-educational,1,8,5-Pvt. Unaided (Recognized),5-Private Unaided (Recognized),,1-Rural
DHARM MEMORIAL PUBLIC SCHOOL,090901052o8,Uttar Pradesh,GHAZIABAD,LONI,LONI,LONI,201010,2-Primary with Upper Primary,3-Co-educational,1,8,5-Pvt. Unaided (Recognized),5-Private Unaided (Recognized),,2-Urban
AMAR CONVENT PUBLIC SCHOOL,090901052o9,Uttar Pradesh,GHAZIABAD,LONI,LONI,LONI,201010,1-Primary,3-Co-educational,1,5,5-Pvt. Unaided (Recognized),5-Private Unaided (Recognized),,2-Urban
DURGA ADARSH PUBLIC SCHOOL,090901052p8,Uttar Pradesh,GHAZIABAD,LONI,LONI,LONI,201010,1-Primary,3-Co-educational,1,5,5-Pvt. Unaided (Recognized),5-Private Unaided (Recognized),,2-Urban
MUNESHWAR DATT SHARMA HIGHER SEC. SCHOOL,09090202404,Uttar Pradesh,GHAZIABAD,RAZAPUR,JALALABAD,BHOBAPUR,201010,8-Secondary Only,3-Co-educational,9,10,5-Pvt. Unaided (Recognized),5-Private Unaided (Recognized),,1-Rural
K R MANGLAM WORLD SCHOOL VAISHALI,09090900231,UTTAR PRADESH,GHAZIABAD,GHAZIABAD (MUN.AREA),GHAZIABAD,WARD NO. 6,201010,3-Pr. with Up.Pr. Sec. and H.Sec.,3-Co-educational,1,12,5-Pvt. Unaided (Recognized),5-Private Unaided (Recognized),,2-Urban
VAISHALI PUBLIC SCHOOL,09090900308,Uttar Pradesh,GHAZIABAD,GHAZIABAD (MUN.AREA),GHAZIABAD,WARD NO. 10,201010,2-Primary with Upper Primary,3-Co-educational,1,8,5-Pvt. Unaided (Recognized),5-Private Unaided (Recognized),,2-Urban
DR. B.R.AMBEDKAR SM. JR.H. SCHOOL,09090901009,Uttar Pradesh,GHAZIABAD,GHAZIABAD (MUN.AREA),GHAZIABAD,WARD NO. 24,201010,2-Primary with Upper Primary,3-Co-educational,1,8,5-Pvt. Unaided (Recognized),5-Private Unaided (Recognized),,2-Urban
SARVODAYA MODEL SCHOOL,09090901311,Uttar Pradesh,GHAZIABAD,GHAZIABAD (MUN.AREA),GHAZIABAD,WARD NO. 46,201010,1-Primary,3-Co-educational,1,5,5-Pvt. Unaided (Recognized),5-Private Unaided (Recognized),,2-Urban
OXUS VAILY PUBLIC JHS BHOVAPUR GZB,09090902407,UTTAR PRADESH,GHAZIABAD,GHAZIABAD (MUN.AREA),GHAZIABAD,WARD NO.41,201010,2-Primary with Upper Primary,3-Co-educational,1,8,5-Pvt. Unaided (Recognized),5-Private Unaided (Recognized),,2-Urban
BHARTI VIDYA NIKETAN,09090902408,Uttar Pradesh,GHAZIABAD,GHAZIABAD (MUN.AREA),GHAZIABAD,WARD NO.41,201010,2-Primary with Upper Primary,3-Co-educational,1,8,5-Pvt. Unaided (Recognized),5-Private Unaided (Recognized),,2-Urban
SPRING DALES PUBLIC SCHOOL SAHIBABAD,09090902614,Uttar Pradesh,GHAZIABAD,GHAZIABAD (MUN.AREA),GHAZIABAD,WARD NO. 40,201010,2-Primary with Upper Primary,3-Co-educational,1,8,5-Pvt. Unaided (Recognized),5-Private Unaided (Recognized),,2-Urban
ARYAN PUBLIC SCHOOL,09090902918,Uttar Pradesh,GHAZIABAD,GHAZIABAD (MUN.AREA),GHAZIABAD,WARD NO. 56,201010,2-Primary with Upper Primary,3-Co-educational,1,8,5-Pvt. Unaided (Recognized),5-Private Unaided (Recognized),,2-Urban
RIVAIRA PUBLIC SCHOOL,09090903816,UTTAR PRADESH,GHAZIABAD,GHAZIABAD (MUN.AREA),GHAZIABAD,WARD NO.49,201010,1-Primary,3-Co-educational,1,5,5-Pvt. Unaided (Recognized),5-Private Unaided (Recognized),,2-Urban
J.S.MEMORIAL PUB.JR.H. SCHOOL,09090904106,Uttar Pradesh,GHAZIABAD,GHAZIABAD (MUN.AREA),GHAZIABAD,WARD NO. 9,201010,2-Primary with Upper Primary,3-Co-educational,1,8,5-Pvt. Unaided (Recognized),5-Private Unaided (Recognized),,2-Urban
"R D M JHS,PRAHLAD GARHI",09090904401,Uttar Pradesh,GHAZIABAD,GHAZIABAD (MUN.AREA),GHAZIABAD,WARD NO. 28,201010,2-Primary with Upper Primary,3-Co-educational,1,8,5-Pvt. Unaided (Recognized),5-Private Unaided (Recognized),,2-Urban
ROBINS ACCEDAMY VASUNDHRA,09090904511,Uttar Pradesh,GHAZIABAD,GHAZIABAD (MUN.AREA),GHAZIABAD,WARD NO. 29,201010,2-Primary with Upper Primary,3-Co-educational,1,8,5-Pvt. Unaided (Recognized),5-Private Unaided (Recognized),,2-Urban
SARASWATI PUBLIC JR.H. SCHOOL,09090905012,Uttar Pradesh,GHAZIABAD,GHAZIABAD (MUN.AREA),GHAZIABAD,WARD NO. 36,201010,2-Primary with Upper Primary,3-Co-educational,1,8,5-Pvt. Unaided (Recognized),5-Private Unaided (Recognized),,2-Urban
KD HIGHER SEC SCHOOL,09090905018,Uttar Pradesh,GHAZIABAD,GHAZIABAD (MUN.AREA),GHAZIABAD,WARD NO. 36,201010,7-Upper Pr. and Secondary,3-Co-educational,6,10,5-Pvt. Unaided (Recognized),5-Private Unaided (Recognized),,2-Urban
MINERVA UNIVERSAL PUB. SCHOOL,09090906006,Uttar Pradesh,GHAZIABAD,GHAZIABAD (MUN.AREA),GHAZIABAD,WARD NO. 58,201010,2-Primary with Upper Primary,3-Co-educational,1,8,5-Pvt. Unaided (Recognized),5-Private Unaided (Recognized),,2-Urban
RINESA PUBLIC SCHOOL,09090906007,Uttar Pradesh,GHAZIABAD,GHAZIABAD (MUN.AREA),GHAZIABAD,WARD NO. 58,201010,2-Primary with Upper Primary,3-Co-educational,1,8,5-Pvt. Unaided (Recognized),5-Private Unaided (Recognized),,2-Urban
MADAN LAL MEMORIEL SCHOOL,09090906311,Uttar Pradesh,GHAZIABAD,GHAZIABAD (MUN.AREA),GHAZIABAD,WARD NO. 63,201010,2-Primary with Upper Primary,3-Co-educational,1,8,5-Pvt. Unaided (Recognized),5-Private Unaided (Recognized),,2-Urban
GYAN JYOTI PUBLIC SCHOOL,09090906909,Uttar Pradesh,GHAZIABAD,GHAZIABAD (MUN.AREA),GHAZIABAD,WARD NO- 69,201010,2-Primary with Upper Primary,3-Co-educational,1,8,5-Pvt. Unaided (Recognized),5-Private Unaided (Recognized),,2-Urban
SANFORT WORLD SCHOOL,09100311228,Uttar Pradesh,GAUTAM BUDDHA NAGAR,DANKAUR,KASNA,KASNA,201010,3-Pr. with Up.Pr. Sec. and H.Sec.,3-Co-educational,1,12,5-Pvt. Unaided (Recognized),5-Private Unaided (Recognized),,1-Rural
DPS WORLD SCHOOL,09100311229,Uttar Pradesh,GAUTAM BUDDHA NAGAR,DANKAUR,KASNA,KASNA,201010,3-Pr. with Up.Pr. Sec. and H.Sec.,3-Co-educational,1,12,5-Pvt. Unaided (Recognized),5-Private Unaided (Recognized),,1-Rural
P.S HIMMAT KA PURWA,09400303403,Uttar Pradesh,BANDA,MAHUWA,BADOKHAR BUJURG,MANIPUR,201010,1-Primary,3-Co-educational,1,5,1-Dept. Of education,1-Department of Education,,1-Rural
MADARSA ARBIA MOHAMMAD UMAR,09440308103,UTTAR PRADESH,KAUSHAMBI,SIRATHU,TOWN AREA SIRATHU,ULACHUPUR,201010,2-Primary with Upper Primary,3-Co-educational,1,8,97-Madarsa Private Unaided (Recognized),97-Madarsa recognized (by Wakf board/Madarsa Board),,1-Rural
P.S. BABUPUR,09451306503,Uttar Pradesh,PRAYAGRAJ,CHAKA,SARANGA PUR,DANDU PUR..,201010,1-Primary,3-Co-educational,1,5,1-Department of Education,1-Department of Education,,1-Rural
N.P.S. PASWAN TOLA BARAP,10291300803,BIHAR,BHOJPUR,GARHANI,M.S. SAHANGI,BARAP,201010,1-Primary,3-Co-educational,1,5,1-Department of Education,1-Department of Education,,1-Rural
